,Host,Dokumente,Land,Date
1679,"Institute of Education, University of London: IOE Eprints",6446,uk,2008-03-19
1680,FernUniversität in Hagen: deposit::hagen,2663,de,2008-03-19
1681,Falla dos Pinhaes (E-Journal),29,br,2008-03-19
1682,Ecossistema (E-Journal),110,br,2008-03-19
1683,American Univ. of Rome: AUR Working Paper Series,10,it,2008-03-19
1684,"Univ. of London, School of Pharmacy: Pharmacy Eprints",317,uk,2008-03-18
1685,Thèses de l'Univ. Toulouse III Paul Sabatier,798,fr,2008-03-18
1686,State Library of Iowa: Iowa Publications Online (IOP),11863,us,2008-03-18
1687,mediaTUM - Dokumenten- und Publikationsserver der TU München,6188,de,2008-03-18
1688,"McGill Univ., Montreal: eScholarship@McGill",28103,ca,2008-03-18
1689,KURENAI: Kyoto Univ. Research Information Repository / 京都大学学術情報リポジトリ,122260,jp,2008-03-18
1690,"IPv6 Eprints Server (6DISS project, Univ. of Southampton)",239,uk,2008-03-18
1691,University of Pittsburgh: Minority Health and Health Equity Archive,2369,us,2008-03-17
1692,Mississippi State Univ. ETD Collection,2345,us,2008-03-17
1693,JISC (Joint Information Systems Committee): Information Environment Repository,494,uk,2008-03-17
1694,International Association of Aquatic and Marine Science Libraries and Information Centers (IAMSLIC): Aquatic Commons,7084,us,2008-03-17
1695,Deutsches Zentrum für Luft und Raumfahrt: elib - DLR electronic library,66385,de,2008-03-17
1696,DALEA - Dalarna Univ. Electronic Archive,1858,se,2008-03-17
1697,California Institute of Technology: Caltech Center for Advanced Computing Research (CACR),82,us,2008-03-17
1698,Hong Kong University Theses Online,19823,hk,2008-03-14
1699,Università degli Studi di Milano: ARMIDA@UniMi (Archivio sperimentale dei materiali didattici),1318,it,2008-03-12
1700,Univ. du Québec à Chicoutimi (UQAC): SDEIR (Service de documentation en études et interventions régionales),2191,ca,2008-03-12
1701,RUA - Repositorio Institucional de la Univ. de Alicante,18166,es,2008-03-12
1702,Politecnico di Milano: Conference Archive,227,it,2008-03-12
1703,Houston Academy of Medicine-Texas Medical Center (HAM-TMC): DigitalCommons@The Texas Medical Center,4739,us,2008-03-12
1704,DigitalCommons@Columbia Univ.,11214,us,2008-03-12
1705,Debreceni Egyetem / Univ. of Debrecen: Debreceni Egyetem elektronikus Archívumának (DEA @ DEENK),128250,hu,2008-03-12
1706,SerWisS - Server für wissenschaftliche Schriften der FH Hannover,316,de,2008-03-11
1707,ScholarSpace at Univ. of Hawaii at Manoa,17243,us,2008-03-11
1708,e_buah - Biblioteca Digital de la Univ. de Alcalá,7363,es,2008-03-11
1709,Digital.CSIC (Consejo Superior de Investigaciones Científicas),46447,es,2008-03-11
1710,LARA  - Libre accès aux rapports scientifiques et techniques (INIST-CNRS),1528,fr,2008-03-10
1711,Indiana University-Purdue University Indianapolis: IUPUI Scholar Works,2245,us,2008-03-10
1712,De Montfort Univ. Leicester: Open Research Archive (DORA),5631,uk,2008-03-10
1713,City University of Hong Kong: CityU Institutional Repository,3001,hk,2008-03-10
1714,BEACON eSpace at Jet Propulsion Laboratory (Host: California Institute of Technology / NASA JPL),22982,us,2008-03-10
1715,UNED (Univ. Nacional de Educación a Distancia): e-spacio,12386,es,2008-03-07
1716,University of British Columbia: cIRcle - UBC's Information Repository,41267,ca,2008-03-06
1717,"Univ. of London, School of Advanced Study: SAS-SPACE",3617,uk,2008-03-06
1718,Uluslararası İnsan Bilimleri Dergisi / International Journal of Human Sciences (E-Journal,741,tr,2008-03-06
1719,The Hong Kong University of Science and Technology: HKUST Institutional Repository,7022,hk,2008-03-06
1720,Oregon State Univ. Libraries: Digital Collections,81192,us,2008-03-06
1721,OPUS-RT - Hochschulschriftenserver der HSB Reutlingen,104,de,2008-03-06
1722,JOTMI - Journal of Technology Management & Innovation (E-Journal),292,cl,2008-03-06
1723,International Journal of Materials and Processes (E-Journal),6,br,2008-03-06
1724,Wayne State Univ.: Digital Commons@Wayne State,7197,us,2008-03-05
1725,University of Nebraska-Lincoln: DigitalCommons@UNL,54631,us,2008-03-05
1726,"University of Maryland, School of Law: DigitalCommons@UM Law",2726,us,2008-03-05
1727,Univ. of Rhode Island: DigitalCommons@URI,2897,us,2008-03-05
1728,Roger Williams University: DOCS@RWU,629,us,2008-03-05
1729,"McMaster Univ., Ontario: DigitalCommons@McMaster",15244,ca,2008-03-05
1730,Macalester College (Minnesota): DigitalCommons@Macalester,2729,us,2008-03-05
1731,DigitalCommons@Univ. of Georgia School of Law,3119,us,2008-03-05
1732,DigitalCommons@Providence College,2649,us,2008-03-05
1733,DigitalCommons@Connecticut College,1233,us,2008-03-05
1734,DigitalCommons@Bryant Univ.,3502,us,2008-03-05
1735,Atlanta Univ. Center: DigitalCommons@Robert W. Woodruff Library,720,us,2008-03-05
1736,Partnership: The Canadian Journal of Library and Information Practice and Research,235,ca,2008-03-04
1737,NeuroQuantology (NQ) - An Interdisciplinary Journal of Neuroscience and Quantum Physics (E-Journal),411,tr,2008-03-04
1738,KM4D Journal - Knowledge Management for Development Journal (E-Journal),114,nl,2008-03-04
1739,Journal of the European Optical Society  - Rapid publications (E-Journal),292,eu,2008-03-04
1740,Cosmos and History (C&H): The Journal of Natural and Social Philosophy (E-Journal),170,us,2008-03-04
1741,Bioscience Journal (E-Journal),643,br,2008-03-04
1742,TM - Tiempos Modernos: Revista Electrónica de Historia Moderna (E-Journal),60,es,2008-03-03
1743,RCR - Radiology Case Reports (E-Journal),346,us,2008-03-03
1744,"E-Journal of Severe Storms Meteorology (E-Journals of Meteorology, Inc.)",36,us,2008-03-03
1745,E-Journal of Petrophysics,23,us,2008-03-03
1746,CMR - Contemporary Management Research (E-Journal),123,tw,2008-03-03
1747,Annals of Genealogical Research (E-Journal),20,us,2008-03-03
1748,ECP - Electronic Communications in Probability (E-Journal),663,us,2008-02-22
1749,OPUS-PHHD - Hochschulschriftenserver der PH Heidelberg,35,de,2008-02-21
1750,Wisconsin Historical Society: Turning Points in Wisconsin History,201031,us,2008-02-19
1751,Oregon Health & Science Univ. (OHSU) Digital Resources Library,359,us,2008-02-19
1752,Central Florida Memory (CFM),5355,us,2008-02-19
1753,Universitat Internacional de Catalunya: Tesis Doctorals en Xarxa (TDX),31,es,2008-02-18
1754,Virginia Tech: Electronic Theses and Dissertations (ETDs@VT),19266,us,2008-02-08
1755,DESY (Deutsches Elektronen-Synchroton) Publication Database,19922,de,2008-02-07
1756,Aberystwyth University: Cadair Online Research Repository / Prifysgol Aberystwyth,6879,uk,2008-02-06
1757,Univ. College Dublin: research_online@UCD,3131,ie,2008-02-05
1758,Universitätsbibliothek Paderborn: Digitale Sammlungen,1386,de,2008-01-24
1759,Univ. of Lethbridge: Institutional Repository,2965,ca,2008-01-24
1760,OPUS-PHKA - Hochschulschriftenserver der Pädagogischen Hochschule Karlsruhe,4,de,2008-01-24
1761,Corvinus University of Budapest: Ph. D. Dissertations,579,hu,2008-01-24
1762,University of Illinois at Urbana-Champaign: UIUC Digitized Books,28269,us,2008-01-23
1763,University of Bath: Online Publications Store (OPus),24513,uk,2008-01-23
1764,"Pace University, New York: DigitalCommons@Pace",3817,us,2008-01-23
1765,Høgskolen i Telemark: TEORA - Telemark Open Research Archive,914,no,2008-01-23
1766,ak.ai - Arbeitskreis Architekturinformatik (Host: SciX - Scientific Information Exchange),113,de,2008-01-23
1767,Vlaams Instituut voor de Zee (VLIZ): Open Marine Archive (OMA),6899,be,2008-01-22
1768,"Universitat Abat Oliba CEU, Barcelona: Tesis Doctorals en Xarxa (TDX)",11,es,2008-01-22
1769,Univ. of Miami Libraries: Digital Initiatives,19709,us,2008-01-22
1770,"Lincoln Univ., New Zealand: Lincoln U Research Archive",4410,nz,2008-01-22
1771,AURA - Aberdeen Univ.  Research Archive,770,uk,2008-01-22
1772,Woods Hole Oceanographic Inst.: Open Access Server of the Woods Hole Scientific Community (WHOAS),5002,us,2008-01-21
1773,"Rice Univ., Houston: Rice Digital Scholarship Archive",34516,us,2008-01-21
1774,Kentucky Virtual Library (KYVL),36408,us,2008-01-21
1775,"Dryden Flight Research Center, NASA: Dryden Technical Reports Server (DTRS)",1857,us,2008-01-21
1776,Center for Jewish History: Digital Collections,433,us,2008-01-21
1777,Univ.of Minnesota Libraries: Images,34384,us,2008-01-18
1778,Rochester Institute of Technology: Digital Media Library (RIT DML),11313,us,2008-01-18
1779,OhioLINK (Ohio Library and Information Network): Digital Media Center (DMC),5019,us,2008-01-18
1780,Living Reviews in Solar Physics (Max-Planck-Gesellschaft),36,de,2008-01-17
1781,Living Reviews in Relativity (Max-Planck-Gesellschaft),110,de,2008-01-17
1782,Living Reviews in Landscape Research (Host: Leibniz Centre for Agricultural Landscape Research),16,de,2008-01-17
1783,Living Reviews in European Governance (Host: European Community Studies Association Austria),21,at,2008-01-17
1784,GloPAD (Global Performing Arts Database),7806,us,2008-01-16
